annee,deplacement,massif,violence_letale,municipalites_touchees,part_massif
2000,656319.0,73820.0,94524.0,991,0.11247579302138137
2001,723958.0,113536.0,104860.0,1002,0.15682677724398378
2002,838276.0,112192.0,121697.0,1042,0.1338365884267234
2003,507559.0,67133.0,96424.0,1032,0.13226639661595993
2004,472164.0,46817.0,76096.0,1036,0.09915410747113292
2005,515933.0,48076.0,59672.0,1042,0.09318264193218886
2006,503430.0,48527.0,48769.0,1044,0.09639274576405855
2007,522101.0,39578.0,46625.0,1056,0.07580525607114333
2008,452143.0,29501.0,36102.0,1027,0.0652470567939789
2009,282553.0,12711.0,26804.0,983,0.04498625036718775
2010,246061.0,9234.0,20405.0,917,0.03752727982085743
2011,300301.0,25642.0,18674.0,929,0.08538766104674976
2012,297375.0,42323.0,18292.0,963,0.14232198402690205
2013,317518.0,26544.0,9836.0,975,0.08359841016887232
2014,315948.0,14559.0,4610.0,961,0.04608036765543697
2015,238529.0,20680.0,2500.0,931,0.08669805348615892
2016,137981.0,13092.0,2058.0,902,0.09488262876772889
2017,132027.0,18696.0,2410.0,848,0.14160739848667317
2018,184159.0,27985.0,3651.0,828,0.1519610771127124
2019,166801.0,34090.0,4130.0,758,0.2043752735295352
2020,108156.0,23534.0,4750.0,717,0.2175931062539295
2021,209787.0,57307.0,6006.0,768,0.27316754613012245
2022,290527.0,64528.0,6510.0,837,0.22210672329938352
