divipola,annees_en_grappe,municipio,departamento
05234,4,Dabeiba,Antioquia
05361,4,Ituango,Antioquia
05475,4,Murindó,Antioquia
05480,4,Mutatá,Antioquia
05543,4,Peque,Antioquia
05873,4,Vigía del Fuerte,Antioquia
13600,4,Río Viejo,Bolívar
13670,4,San Pablo,Bolívar
13688,4,Santa Rosa del Sur,Bolívar
18029,4,Albania,Caquetá
18150,4,Cartagena del Chairá,Caquetá
18205,4,Curillo,Caquetá
18247,4,El Doncello,Caquetá
18256,4,El Paujíl,Caquetá
18410,4,La Montañita,Caquetá
18460,4,Milán,Caquetá
18479,4,Morelia,Caquetá
18592,4,Puerto Rico,Caquetá
18610,4,San José del Fragua,Caquetá
18753,4,San Vicente del Caguán,Caquetá
18785,4,Solita,Caquetá
18860,4,Valparaíso,Caquetá
19318,4,Guapi,Cauca
19533,4,Piamonte,Cauca
19809,4,Timbiquí,Cauca
23580,4,Puerto Libertador,Córdoba
23807,4,Tierralta,Córdoba
27001,4,Quibdó,Chocó
27075,4,Bahía Solano,Chocó
27099,4,Bojayá,Chocó
27205,4,Condoto,Chocó
27425,4,Medio Atrato,Chocó
27495,4,Nuquí,Chocó
50325,4,Mapiripán,Meta
50350,4,La Macarena,Meta
50370,4,Uribe,Meta
50450,4,Puerto Concordia,Meta
50590,4,Puerto Rico,Meta
50711,4,Vistahermosa,Meta
52696,4,Santa Bárbara,Nariño
54206,4,Convención,Norte de Santander
54245,4,El Carmen,Norte de Santander
54250,4,El Tarra,Norte de Santander
54670,4,San Calixto,Norte de Santander
54800,4,Teorama,Norte de Santander
54810,4,Tibú,Norte de Santander
86568,4,Puerto Asís,Putumayo
86569,4,Puerto Caicedo,Putumayo
86571,4,Puerto Guzmán,Putumayo
86573,4,Puerto Leguízamo,Putumayo
86757,4,San Miguel,Putumayo
86865,4,Valle del Guamuez,Putumayo
95001,4,San José del Guaviare,Guaviare
95015,4,Calamar,Guaviare
