divipola,annee,valeur,moran_local,p_simule,classe,municipio,departamento
05001,2002,1.7836466206524475,0.8113520144763539,0.001,Bas-Bas,Medellín,Antioquia
05002,2002,5.415518949042145,0.9260974596858011,0.102,Non significatif,Abejorral,Antioquia
05004,2002,4.1795806225253775,0.13819668467415258,0.357,Non significatif,Abriaquí,Antioquia
05021,2002,5.8661749892504975,1.3835961298589377,0.051,Non significatif,Alejandría,Antioquia
05030,2002,2.3325822664684033,0.13157998966731455,0.134,Non significatif,Amagá,Antioquia
05031,2002,3.8353122805476056,0.33005842966229776,0.118,Non significatif,Amalfi,Antioquia
05034,2002,2.397222239809966,0.011338945581410926,0.448,Non significatif,Andes,Antioquia
05036,2002,3.3062580009508133,-0.08529326625404454,0.223,Non significatif,Angelópolis,Antioquia
05038,2002,3.9743174893839885,0.14038446007298952,0.327,Non significatif,Angostura,Antioquia
05040,2002,3.6563444527691913,0.2747703047541313,0.113,Non significatif,Anorí,Antioquia
05042,2002,2.935806689694604,0.00326092514310382,0.463,Non significatif,Santa Fé de Antioquia,Antioquia
05044,2002,3.6832645993110904,0.14937474133794282,0.254,Non significatif,Anzá,Antioquia
05045,2002,3.990547183637615,0.534404629171479,0.051,Non significatif,Apartadó,Antioquia
05051,2002,3.626527556739281,0.15723444098725245,0.234,Non significatif,Arboletes,Antioquia
05055,2002,7.598140278231116,4.0242366275755375,0.001,Haut-Haut,Argelia,Antioquia
05059,2002,2.7073368340923216,-0.029205915094572963,0.212,Non significatif,Armenia,Antioquia
05079,2002,2.4117799131247777,-0.007384864660454516,0.49,Non significatif,Barbosa,Antioquia
05086,2002,1.6980640871459318,0.1670169886831015,0.27,Non significatif,Belmira,Antioquia
05088,2002,0.744869873508664,0.9303036483621548,0.034,Bas-Bas,Bello,Antioquia
05091,2002,3.4099409747080895,-0.07411200514023368,0.29,Non significatif,Betania,Antioquia
05093,2002,4.9512826125635,0.21600524080103167,0.358,Non significatif,Betulia,Antioquia
05101,2002,3.112525670306479,0.03279028844968873,0.328,Non significatif,Ciudad Bolívar,Antioquia
05107,2002,4.903808477249769,0.6944452271532099,0.11,Non significatif,Briceño,Antioquia
05113,2002,3.1821079884920564,0.03571740177977089,0.356,Non significatif,Buriticá,Antioquia
05120,2002,3.935405693139499,0.04887568537952491,0.448,Non significatif,Cáceres,Antioquia
05125,2002,4.246409828918066,0.2928777148528534,0.224,Non significatif,Caicedo,Antioquia
05129,2002,1.0269486057685122,0.7564074838121757,0.039,Bas-Bas,Caldas,Antioquia
05134,2002,4.586620580380106,0.3188203090200073,0.25,Non significatif,Campamento,Antioquia
05138,2002,3.794563388714372,0.17940065312335013,0.244,Non significatif,Cañasgordas,Antioquia
05142,2002,3.2181902602636665,0.11233925381870738,0.135,Non significatif,Caracolí,Antioquia
05145,2002,3.2601959112804986,0.028338652748905464,0.413,Non significatif,Caramanta,Antioquia
05147,2002,3.6083926893240807,0.3434498131481129,0.054,Non significatif,Carepa,Antioquia
05148,2002,3.8247837443761052,0.6003977583854222,0.011,Haut-Haut,El Carmen de Viboral,Antioquia
05150,2002,3.3486546666049257,-0.027452069423663964,0.403,Non significatif,Carolina,Antioquia
05154,2002,2.2990579949111094,-0.06043299411858705,0.35,Non significatif,Caucasia,Antioquia
05172,2002,3.737342234847771,0.3939071504307594,0.055,Non significatif,Chigorodó,Antioquia
05190,2002,2.23764338991488,-0.21037666366447902,0.109,Non significatif,Cisneros,Antioquia
05197,2002,6.887211402518368,2.971754169017608,0.005,Haut-Haut,Cocorná,Antioquia
05206,2002,4.615755972758152,0.7412322799257672,0.063,Non significatif,Concepción,Antioquia
05209,2002,3.486853398181011,0.10615818383275412,0.268,Non significatif,Concordia,Antioquia
05212,2002,0.38140046942511946,0.9241969310872621,0.056,Non significatif,Copacabana,Antioquia
05234,2002,5.696457848541678,1.4059963886858946,0.039,Haut-Haut,Dabeiba,Antioquia
05237,2002,0.461417494630002,-0.05487683076243592,0.489,Non significatif,Donmatías,Antioquia
05240,2002,1.7857935913872307,0.13330942160526268,0.289,Non significatif,Ebéjico,Antioquia
05250,2002,5.0284416269005066,0.849924718707366,0.085,Non significatif,El Bagre,Antioquia
05264,2002,0.7981228451026656,0.6592992475517673,0.084,Non significatif,Entrerríos,Antioquia
05266,2002,0.10056538256739767,1.7025628940906121,0.007,Bas-Bas,Envigado,Antioquia
05282,2002,1.3306942788262328,0.12408479206810817,0.345,Non significatif,Fredonia,Antioquia
05284,2002,4.075196029064328,0.6602250731781567,0.024,Haut-Haut,Frontino,Antioquia
05306,2002,1.6953272944953086,-0.23450627551378633,0.229,Non significatif,Giraldo,Antioquia
05308,2002,1.0886758802680778,0.2757749907298114,0.246,Non significatif,Girardota,Antioquia
05310,2002,3.1461226330903322,0.05674334130436628,0.246,Non significatif,Gómez Plata,Antioquia
