annee,moran_I_knn,moran_I_reine
2000,0.6515251413572427,0.6354237195898087
2001,0.6246303145346768,0.6150863530871244
2002,0.630989198689888,0.6163047983682505
2003,0.5966328791306575,0.5772822112094822
2004,0.63796824213167,0.6161924400176537
2005,0.6424735938650703,0.6261910098968811
2006,0.657602976176899,0.6379697603412874
2007,0.6738401575031269,0.6622798174183884
2008,0.6964891018056465,0.6751500177443831
2009,0.7019085041005299,0.6894415937652995
2010,0.7071234875496949,0.6997521589383734
2011,0.7087768934706362,0.7216781637060804
2012,0.7070303958956597,0.7094331204734168
2013,0.7188488949214751,0.7245709104239232
2014,0.7290927296982758,0.7309248619012821
2015,0.7198931274972712,0.7210945843799489
2016,0.6809235125582415,0.6835985797255146
2017,0.6883030495948667,0.6988263737418139
2018,0.7043243781953868,0.7149500732431852
2019,0.7136749183534528,0.7335361051176413
2020,0.6872473161253365,0.7234664160709603
2021,0.7178799614546313,0.7441235628900479
2022,0.7124982053273179,0.728669247335861
