annee,moran_I,esperance,z_simule,p_simule,significatif
2000,0.6515251413572427,-0.0008928571428571428,37.768580121557456,0.001,True
2001,0.6246303145346768,-0.0008928571428571428,34.67084788713874,0.001,True
2002,0.630989198689888,-0.0008928571428571428,36.32777524403758,0.001,True
2003,0.5966328791306575,-0.0008928571428571428,34.23097693432282,0.001,True
2004,0.63796824213167,-0.0008928571428571428,37.05816253711738,0.001,True
2005,0.6424735938650703,-0.0008928571428571428,36.36470056883176,0.001,True
2006,0.657602976176899,-0.0008928571428571428,36.84602706708456,0.001,True
2007,0.6738401575031269,-0.0008928571428571428,37.863470340063664,0.001,True
2008,0.6964891018056465,-0.0008928571428571428,37.885898119666074,0.001,True
2009,0.7019085041005299,-0.0008928571428571428,40.99831828485665,0.001,True
2010,0.7071234875496949,-0.0008928571428571428,39.4976006907272,0.001,True
2011,0.7087768934706362,-0.0008928571428571428,40.1808866658102,0.001,True
2012,0.7070303958956597,-0.0008928571428571428,38.41399399732509,0.001,True
2013,0.7188488949214751,-0.0008928571428571428,39.8657484811521,0.001,True
2014,0.7290927296982758,-0.0008928571428571428,39.80309637156792,0.001,True
2015,0.7198931274972712,-0.0008928571428571428,40.13443459149485,0.001,True
2016,0.6809235125582415,-0.0008928571428571428,38.80608137348896,0.001,True
2017,0.6883030495948667,-0.0008928571428571428,39.7845001144704,0.001,True
2018,0.7043243781953868,-0.0008928571428571428,38.690261648237886,0.001,True
2019,0.7136749183534528,-0.0008928571428571428,40.057050836660196,0.001,True
2020,0.6872473161253365,-0.0008928571428571428,39.11355896097214,0.001,True
2021,0.7178799614546313,-0.0008928571428571428,40.558997817112754,0.001,True
2022,0.7124982053273179,-0.0008928571428571428,41.61734371613953,0.001,True
