annee,moran_residus,p_simule,significatif
2001,0.3164180055884754,0.001,True
2002,0.3545633482320553,0.001,True
2003,0.32586203458334134,0.001,True
2004,0.3006542581558295,0.001,True
2005,0.2780514536624321,0.001,True
2006,0.2646276503264805,0.001,True
2007,0.30848122740606726,0.001,True
2008,0.286885755321658,0.001,True
2009,0.24364045938402246,0.001,True
2010,0.21229452749901673,0.001,True
2011,0.26547295766026446,0.001,True
2012,0.2107422595963845,0.001,True
2013,0.18352048386692724,0.001,True
2014,0.20599001610103498,0.001,True
2015,0.19915735938346052,0.001,True
2016,0.24843877368029052,0.001,True
2017,0.3142505615202146,0.001,True
2018,0.3762440326133539,0.001,True
2019,0.348616758498277,0.001,True
2020,0.3989233515573781,0.001,True
2021,0.37463232529955587,0.001,True
2022,0.3158142841175202,0.001,True
